"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Ethiopia","ETH","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","4.91803278688524","6.41247833622184","8.31586303284418","7.1222329162656","9.7100175746924","6.80486705723297","7.05258866693846","4.59770114940523","4.43596470307656","2.91210259150414","3.15226011102299","1.82396606574761","3.1172308280742","2.07638116425658","1.59090909090909","2.23853379104828","4.18235718291804","5.44229480598138","5.2600109021654","7.12085309720026","7.05825673095284","12.0197460102531","12.0136039169837","14.6627360492582","15.144777225823","19.0151665628495","19.4225707332358","21.6873610623746","21.322776528029","18.8605503122294","15.8400904830289","23.6726384830534","21.7064498592577","27.3126567975794","30.0616672993346","23.9318676625884","20.652036323356","12.9363634678913","13.7914650135471","12.5883333158568","13.3441935883359","21.4592111230388","16.8849191969559","23.9186294246621","",
"Ethiopia","ETH","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","10.2841677943166","9.44148936170213","8.5","7.34149054505006","7.43565300285987","5.79584775086505","8.40867992766727","9.10891089108911","9.895337773549","11.5029119705032","9.89171263515551","10.6842641533465","12.6654075606319","14.019781363873","14.1452203125469","21.7163762427394","14.2397368299256","8.3349608054635","2.7239553216443","6.85739855802479","11.595547309833","7.8592312574719","10.7771614911728","8.64669751413017","7.49728090307557","4.47143880674787","4.47143880726811","9.39424594343058","5.59819627388157","6.06952829446867","14.7883900923531","3.85664242559144","6.83416125612201","13.5223555070883","11.2855195230778","15.114090787131","12.086854138509","11.6981800095428","10.5420877583883","18.1407344329604","17.6202942154727","58.9244978060462","25.7779747992737","35.2907835408632","18.0556618049491","26.9884665186381","23.5655790513385","22.6391107452449","20.873117393584","36.7794665789462","28.5864565259165","29.1863007670056","31.3490662735401","24.7733225043612","27.8574966501127","22.8084788361512","26.7294489598459","21.9973588091986","23.353908368063","23.2985596765539","20.7940493452737","",
"Ethiopia","ETH","Transport services (% of commercial service imports)","TM.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","84.0186190845614","77.6785714285715","81.3713592233009","80.8051948051953","85.6279558591698","80.5839780384328","75.7682177348554","74.5239020604873","73.9257101238165","79.8720292504569","71.3571763235981","71.0538016896399","75.4348160689551","76.486111111111","69.4113462564465","74.0024040814148","58.5572450183989","63.3882121657611","63.4035927521123","63.2442714710553","58.1624940806101","58.8592992508964","63.1257849026235","59.7233277530031","63.8313487412424","57.6617646481294","59.682010293196","62.3488187512995","64.9692526859585","55.0285957840179","64.8012499285614","68.3344976130971","67.5841077049898","65.2208819919703","61.5758695258892","67.7011369639646","73.2875662648781","70.5625091499818","67.4953891558485","62.3883959580621","72.0904610508998","66.6204162494692","66.3872454161672","65.2921146608422","",
"Ethiopia","ETH","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","6.12244897959184","9.03225806451613","4.26770126091174","3.24909747292419","2.61437908496732","2.21476510067114","1.55183116076971","2.52100840336134","2.0372526193248","2.19800029615704","1.19203677485886","1.40728080123956","1.13729405363718","3.17047483859151","6.5541976994664","13.1492665536225","13.2477381361228","4.29850033133207","0.550035680957348","15.8302657235042","5.52391846864189","4.12886941716777","1.49691497385582","1.72211755497306","0.894204948974867","1.39631291652673","1.39631291662699","2.70285126748531","2.24861426457205","5.14296188446822","4.53455039157513","18.4709739792536","24.0436663600031","23.4452232606438","21.5308347148566","15.1398343824625","15.7762299728656","12.9620547210858","27.3222237141439","23.5882800699147","29.779570878035","26.3552035979421","20.0188253839559","27.3948841404046","28.5353892437581","24.9805933265663","26.2471838842064","19.1223201373879","18.444844784197","17.3737582160566","20.9804837193961","20.4619408808631","24.7946262370915","18.0755619669227","22.5129421885075","25.7403951510175","25.4257221181592","26.9861399433762","28.4221672475663","28.2476194541188","28.6088206336401","",
"Ethiopia","ETH","Binding coverage, primary products (%)","TM.TAX.TCOM.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Urban population growth (annual %)","SP.URB.GROW","","5.63753348879418","5.71080761592248","5.74575447548256","5.77942626870321","5.77854715485624","5.75761823353755","5.72441647722869","4.45220012706196","4.53719676458689","4.67144496073883","4.82868375371774","4.94996021476788","4.85914022074988","4.54838884228053","4.12197080185329","3.63521217652703","3.25680825389258","3.14591578859005","3.36186392259477","3.7790069256477","4.27308222941887","4.66523717427293","4.95070445572952","5.08358492379955","5.14218325431824","5.13416835352766","5.14771211980176","5.18831597988006","5.26207618859679","5.35981551050135","5.4633745306584","5.50719684883301","5.49364985194594","5.38053296557685","4.78428839329126","4.45326304864431","4.3109895473183","4.2206152672708","4.16621784010311","4.15946183546068","4.14010102389459","4.13880492509906","4.11295985708229","4.08557770362831","4.05459517035634","4.02768970558805","4.10158150013253","5.15640308173017","5.15074652649559","5.17365961820614","5.18620476481091","5.19775831468281","5.08653593852461","5.05163548153949","4.99427546704227","4.93751413538565","4.87377727066852","4.82588603368192","4.78041656605125","4.73159302240401","",
"Ethiopia","ETH","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.06192","","20.01875","","","42.22959","","","44.73122","","","","90.52892","","","","",
"Ethiopia","ETH","Population ages 65 and above, female (% of female population)","SP.POP.65UP.FE.ZS","3.0926186935696","3.08355260261039","3.06482318966786","3.0411389212812","3.01847395517609","2.99983441883636","3.01508009474514","3.03185029724319","3.0465863527371","3.05479306835987","3.0543359874656","3.07326741999502","3.08200589783442","3.08279530487082","3.07923312283705","3.07459662316008","3.13896996889345","3.20514345124136","3.27620233101238","3.34655962153285","3.40675414006604","3.37609555792509","3.33316902577168","3.28567401598959","3.24249136774639","3.20692229769428","3.21071182758759","3.21756112169943","3.22109710478751","3.21367169800961","3.19299585108561","3.17205708442555","3.14106996173388","3.10846080918271","3.08326199925874","3.06920369878457","3.08999836122596","3.11381699535801","3.13601585092514","3.15100250125515","3.15689787878363","3.17486002877963","3.18810439231082","3.19966321429256","3.21330302012051","3.23154134308132","3.27112992709442","3.3115511034881","3.35454808573615","3.40229842435168","3.45569618552428","3.50572085258647","3.55823813627866","3.61016097595269","3.65679593309314","3.69635914698166","3.72404484191972","3.74490828755164","3.76425745879959","3.78876744587846","3.82213280375766","",
"Ethiopia","ETH","Population ages 30-34, male (% of male population)","SP.POP.3034.MA.5Y","6.3897413355445","6.37111376327842","6.36316690105149","6.36234822381329","6.36514216027903","6.36947396006669","6.34496644747887","6.33039310072334","6.3237856813421","6.32314960483404","6.32604445721933","6.3119717669774","6.30036404426017","6.29287745983303","6.29413559931301","6.30580741912808","6.33412133552305","6.37301123799965","6.40403141398072","6.40160463571785","6.35001413174814","6.232280430035","6.09137632038739","5.94598461579957","5.82033493672632","5.72537826087193","5.64131467638782","5.5870607398787","5.55214097676559","5.52710961989995","5.50868560335663","5.47950138810936","5.44567572918353","5.4045151066936","5.36222377759026","5.32963601313452","5.32494917452894","5.34204924092549","5.381157415076","5.4428512263994","5.52432966205016","5.61513825966992","5.73208934906807","5.85130431721246","5.9422307699663","5.98873858481878","5.98400794278919","5.93928082761383","5.87885826793454","5.83696289308954","5.83072031204909","5.87906043946237","5.96594663614183","6.07285294622259","6.1724823953937","6.25091489864951","6.29721847859789","6.32761514787495","6.36168793839817","6.4277898406906","6.53956185176044","",
